#JewelleryInformaion,,,,
#ProductCode,PCMUSSID,USSID[unique=true],PIMAttributeId,Weight
MP000000111087041,123661Tanishq4200060041,123661Tanishq42000600410,diamondweightfinejwlry1,10
MP000000111087041,123661Tanishq4200060041,123661Tanishq42000600410,metalweightfinejwlry,20
MP000000111087041,123661Tanishq4200060041,123661Tanishq42000600411,diamondweightfinejwlry1,11
MP000000111087041,123661Tanishq4200060041,123661Tanishq42000600411,metalweightfinejwlry,12
MP000000111087041,123661Tanishq4200060041,123661Tanishq42000600412,diamondweightfinejwlry1,12
MP000000111087041,123661Tanishq4200060041,123661Tanishq42000600412,metalweightfinejwlry,15
MP000000111087041,123661Tanishq4200060041,123661Tanishq42000600413,diamondweightfinejwlry1,13
MP000000111087041,123661Tanishq4200060041,123661Tanishq42000600414,metalweightfinejwlry,14
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600420,diamondweightfinejwlry2,16
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600420,metalweightfinejwlry,17
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600421,diamondweightfinejwlry2,15
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600421,metalweightfinejwlry,14
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600422,diamondweightfinejwlry2,14
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600422,metalweightfinejwlry,13
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600423,diamondweightfinejwlry2,13
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600423,metalweightfinejwlry,11
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600424,diamondweightfinejwlry2,12
MP000000111087042,123661Tanishq4200060042,123661Tanishq42000600424,metalweightfinejwlry,16
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600431,diamondweightfinejwlry3,20
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600431,metalweightfinejwlry,12
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600432,diamondweightfinejwlry3,21
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600432,metalweightfinejwlry,13
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600433,diamondweightfinejwlry3,22
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600433,metalweightfinejwlry,14
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600434,diamondweightfinejwlry3,19
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600434,metalweightfinejwlry,15
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600435,diamondweightfinejwlry3,23
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600435,metalweightfinejwlry,16
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600436,diamondweightfinejwlry3,24
MP000000111087043,123661Tanishq4200060043,123661Tanishq42000600436,metalweightfinejwlry,17
