# Qualifier,Medias
MP000000000077347_3,"113Wx168H/MP000000000077347_3,1348Wx2000H/MP000000000077347_3,437Wx649H/MP000000000077347_3,252Wx374H/MP000000000077347_3,97Wx144H/MP000000000077347_3"
MP000000000077347_2,"1348Wx2000H/MP000000000077347_2,437Wx649H/MP000000000077347_2,252Wx374H/MP000000000077347_2,97Wx144H/MP000000000077347_2,113Wx168H/MP000000000077347_2"
MP000000000077347_4,"437Wx649H/MP000000000077347_4,252Wx374H/MP000000000077347_4,97Wx144H/MP000000000077347_4,113Wx168H/MP000000000077347_4,1348Wx2000H/MP000000000077347_4"
MP000000000077347_1,"1348Wx2000H/MP000000000077347_1,437Wx649H/MP000000000077347_1,252Wx374H/MP000000000077347_1,97Wx144H/MP000000000077347_1,113Wx168H/MP000000000077347_1"
MP000000000077621_3,"97Wx144H/MP000000000077621_3,113Wx168H/MP000000000077621_3,252Wx374H/MP000000000077621_3,437Wx649H/MP000000000077621_3,1348Wx2000H/MP000000000077621_3"
MP000000000077621_1,"97Wx144H/MP000000000077621_1,437Wx649H/MP000000000077621_1,113Wx168H/MP000000000077621_1,252Wx374H/MP000000000077621_1,1348Wx2000H/MP000000000077621_1"
MP000000000077621_4,"437Wx649H/MP000000000077621_4,1348Wx2000H/MP000000000077621_4,252Wx374H/MP000000000077621_4,113Wx168H/MP000000000077621_4,97Wx144H/MP000000000077621_4"
MP000000000077621_2,"252Wx374H/MP000000000077621_2,113Wx168H/MP000000000077621_2,437Wx649H/MP000000000077621_2,1348Wx2000H/MP000000000077621_2,97Wx144H/MP000000000077621_2"
MP000000000092834_1_Video,MP000000000092834_v1.mp4
MP000000000092834_1,"58Wx65H/MP000000000092834_1,658Wx734H/MP000000000092834_1,97Wx108H/MP000000000092834_1,320Wx357H/MP000000000092834_1,432Wx482H/MP000000000092834_1,1316Wx1468H/MP000000000092834_1"
MP000000000092911_1,"58Wx65H/MP000000000092911_1,432Wx482H/MP000000000092911_1,658Wx734H/MP000000000092911_1,1316Wx1468H/MP000000000092911_1,97Wx108H/MP000000000092911_1,320Wx357H/MP000000000092911_1"
MP000000000092900_1,"58Wx65H/MP000000000092900_1,97Wx108H/MP000000000092900_1,320Wx357H/MP000000000092900_1,432Wx482H/MP000000000092900_1,1316Wx1468H/MP000000000092900_1,658Wx734H/MP000000000092900_1"
MP000000000101827_4,"58Wx65H/MP000000000101827_4,97Wx108H/MP000000000101827_4,320Wx357H/MP000000000101827_4,432Wx482H/MP000000000101827_4,658Wx734H/MP000000000101827_4,1316Wx1468H/MP000000000101827_4"
MP000000000101827_1,"97Wx108H/MP000000000101827_1,320Wx357H/MP000000000101827_1,432Wx482H/MP000000000101827_1,658Wx734H/MP000000000101827_1,1316Wx1468H/MP000000000101827_1,58Wx65H/MP000000000101827_1"
MP000000000101827_2,"658Wx734H/MP000000000101827_2,58Wx65H/MP000000000101827_2,97Wx108H/MP000000000101827_2,320Wx357H/MP000000000101827_2,1316Wx1468H/MP000000000101827_2,432Wx482H/MP000000000101827_2"
MP000000000101827_3,"658Wx734H/MP000000000101827_3,320Wx357H/MP000000000101827_3,432Wx482H/MP000000000101827_3,1316Wx1468H/MP000000000101827_3,58Wx65H/MP000000000101827_3,97Wx108H/MP000000000101827_3"
MP000000000128167_1,"1348Wx2000H/MP000000000128167_1,113Wx168H/MP000000000128167_1,252Wx374H/MP000000000128167_1,97Wx144H/MP000000000128167_1,437Wx649H/MP000000000128167_1"
MP000000000128234_4,"58Wx65H/MP000000000128234_4,97Wx108H/MP000000000128234_4,320Wx357H/MP000000000128234_4,432Wx482H/MP000000000128234_4,658Wx734H/MP000000000128234_4,1316Wx1468H/MP000000000128234_4"
MP000000000128234_2,"58Wx65H/MP000000000128234_2,97Wx108H/MP000000000128234_2,320Wx357H/MP000000000128234_2,432Wx482H/MP000000000128234_2,658Wx734H/MP000000000128234_2,1316Wx1468H/MP000000000128234_2"
MP000000000128234_1,"58Wx65H/MP000000000128234_1,97Wx108H/MP000000000128234_1,320Wx357H/MP000000000128234_1,432Wx482H/MP000000000128234_1,658Wx734H/MP000000000128234_1,1316Wx1468H/MP000000000128234_1"
MP000000000128234_3,"320Wx357H/MP000000000128234_3,432Wx482H/MP000000000128234_3,1316Wx1468H/MP000000000128234_3,58Wx65H/MP000000000128234_3,97Wx108H/MP000000000128234_3,658Wx734H/MP000000000128234_3"
MP000000000128241_1,"58Wx65H/MP000000000128241_1,97Wx108H/MP000000000128241_1,320Wx357H/MP000000000128241_1,432Wx482H/MP000000000128241_1,658Wx734H/MP000000000128241_1,1316Wx1468H/MP000000000128241_1"
MP000000000128238_2,"658Wx734H/MP000000000128238_2,1316Wx1468H/MP000000000128238_2,58Wx65H/MP000000000128238_2,97Wx108H/MP000000000128238_2,320Wx357H/MP000000000128238_2,432Wx482H/MP000000000128238_2"
MP000000000128236_1,"58Wx65H/MP000000000128236_1,97Wx108H/MP000000000128236_1,320Wx357H/MP000000000128236_1,432Wx482H/MP000000000128236_1,658Wx734H/MP000000000128236_1,1316Wx1468H/MP000000000128236_1"
MP000000000128241_2,"658Wx734H/MP000000000128241_2,58Wx65H/MP000000000128241_2,97Wx108H/MP000000000128241_2,320Wx357H/MP000000000128241_2,432Wx482H/MP000000000128241_2,1316Wx1468H/MP000000000128241_2"
MP000000000128238_1,"58Wx65H/MP000000000128238_1,97Wx108H/MP000000000128238_1,320Wx357H/MP000000000128238_1,432Wx482H/MP000000000128238_1,658Wx734H/MP000000000128238_1,1316Wx1468H/MP000000000128238_1"
MP000000000128241_3,"1316Wx1468H/MP000000000128241_3,320Wx357H/MP000000000128241_3,432Wx482H/MP000000000128241_3,58Wx65H/MP000000000128241_3,97Wx108H/MP000000000128241_3,658Wx734H/MP000000000128241_3"
MP000000000128236_4,"432Wx482H/MP000000000128236_4,658Wx734H/MP000000000128236_4,1316Wx1468H/MP000000000128236_4,58Wx65H/MP000000000128236_4,97Wx108H/MP000000000128236_4,320Wx357H/MP000000000128236_4"
MP000000000128236_2,"658Wx734H/MP000000000128236_2,58Wx65H/MP000000000128236_2,97Wx108H/MP000000000128236_2,320Wx357H/MP000000000128236_2,432Wx482H/MP000000000128236_2,1316Wx1468H/MP000000000128236_2"
MP000000000128236_3,"432Wx482H/MP000000000128236_3,320Wx357H/MP000000000128236_3,1316Wx1468H/MP000000000128236_3,58Wx65H/MP000000000128236_3,97Wx108H/MP000000000128236_3,658Wx734H/MP000000000128236_3"
MP000000000128238_4,"432Wx482H/MP000000000128238_4,658Wx734H/MP000000000128238_4,1316Wx1468H/MP000000000128238_4,58Wx65H/MP000000000128238_4,97Wx108H/MP000000000128238_4,320Wx357H/MP000000000128238_4"
MP000000000128238_3,"320Wx357H/MP000000000128238_3,432Wx482H/MP000000000128238_3,1316Wx1468H/MP000000000128238_3,58Wx65H/MP000000000128238_3,97Wx108H/MP000000000128238_3,658Wx734H/MP000000000128238_3"
MP000000000128241_4,"432Wx482H/MP000000000128241_4,658Wx734H/MP000000000128241_4,1316Wx1468H/MP000000000128241_4,58Wx65H/MP000000000128241_4,97Wx108H/MP000000000128241_4,320Wx357H/MP000000000128241_4"
