# classificationAttributeAssignment,product,qualifier,unit,valueType,value
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.displayproduct,,1,"string,Display Product Name"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.weightapparel,,1,"string,Weight"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000077347,pcmClassification/1/sizechartCC.sizechart,,1,"string,Size chart"
womenethinicweartopwearsize:pcmClassification:1:pcmClassification:1:womenethinicweartopwearsizeCC:pcmClassification:1,MP000000000077347,pcmClassification/1/womenethinicweartopwearsizeCC.womenethinicweartopwearsize,,4,"enum,pcmClassification,1,s"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,casualwear"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.stylecode,,1,"string,AWE2344562"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000077347,pcmClassification/1/washcareCC.washcare,,1,"string,Wash Care"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.colorapparel,,1,"string,Dark Red"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000077347,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model fit"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.stylenote,,1,"string,Style Note"
womenfabric:pcmClassification:1:pcmClassification:1:womenfabricCC:pcmClassification:1,MP000000000077347,pcmClassification/1/womenfabricCC.womenfabric,,4,"enum,pcmClassification,1,blended"
womensleeve:pcmClassification:1:pcmClassification:1:womensleeveCC:pcmClassification:1,MP000000000077347,pcmClassification/1/womensleeveCC.womensleeve,,4,"enum,pcmClassification,1,3by4thsleeve"
womenethinictopwearneckcollar:pcmClassification:1:pcmClassification:1:womenethinictopwearneckcollarCC:pcmClassification:1,MP000000000077347,pcmClassification/1/womenethinictopwearneckcollarCC.womenethinictopwearneckcollar,,4,"enum,pcmClassification,1,bandneck"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,0-3m"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,peach"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077347,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
womentopwearfit:pcmClassification:1:pcmClassification:1:womentopwearfitCC:pcmClassification:1,MP000000000077347,pcmClassification/1/womentopwearfitCC.womentopwearfit,,4,"enum,pcmClassification,1,extraskinny"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,white"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000077621,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model fit"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.stylecode,,1,"string,AWE2344561"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000077621,pcmClassification/1/sizechartCC.sizechart,,1,"string,Size chart"
womenethinictopwearneckcollar:pcmClassification:1:pcmClassification:1:womenethinictopwearneckcollarCC:pcmClassification:1,MP000000000077621,pcmClassification/1/womenethinictopwearneckcollarCC.womenethinictopwearneckcollar,,4,"enum,pcmClassification,1,bandneck"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.displayproduct,,1,"string,Display Product Name"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,casualwear"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000077621,pcmClassification/1/washcareCC.washcare,,1,"string,Wash Care"
womenethinicweartopwearsize:pcmClassification:1:pcmClassification:1:womenethinicweartopwearsizeCC:pcmClassification:1,MP000000000077621,pcmClassification/1/womenethinicweartopwearsizeCC.womenethinicweartopwearsize,,4,"enum,pcmClassification,1,womenethinicweartopwearsize30"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.colorapparel,,1,"string,Dark Red"
womensleeve:pcmClassification:1:pcmClassification:1:womensleeveCC:pcmClassification:1,MP000000000077621,pcmClassification/1/womensleeveCC.womensleeve,,4,"enum,pcmClassification,1,3by4thsleeve"
womentopwearfit:pcmClassification:1:pcmClassification:1:womentopwearfitCC:pcmClassification:1,MP000000000077621,pcmClassification/1/womentopwearfitCC.womentopwearfit,,4,"enum,pcmClassification,1,extraskinny"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.stylenote,,1,"string,Style Note"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.weightapparel,,1,"string,Weight"
womenfabric:pcmClassification:1:pcmClassification:1:womenfabricCC:pcmClassification:1,MP000000000077621,pcmClassification/1/womenfabricCC.womenfabric,,4,"enum,pcmClassification,1,blended"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000077621,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,0-3m"
fitbottomwearmen:pcmClassification:1:pcmClassification:1:fitbottomwearmenCC:pcmClassification:1,MP000000000092834,pcmClassification/1/fitbottomwearmenCC.fitbottomwearmen,,4,"enum,pcmClassification,1,other"
menpattern:pcmClassification:1:pcmClassification:1:menpatternCC:pcmClassification:1,MP000000000092834,pcmClassification/1/menpatternCC.menpattern,,4,"enum,pcmClassification,1,chevron"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Modal"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,casualwear"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.weightapparel,,1,"string,10"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,black"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000092834,pcmClassification/1/modelfitCC.modelfit,,1,"string,Concealed button double-fly"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.stylenote,,1,"string,These GlobalRang boxer shorts are made of 100% Cotton. The shorts are designs for extreme comfort and can be worn for sleeping\,  your clothes or even for lounging at home"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
packcolor:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.packcolor,,4,"enum,pcmClassification,1,white"
waistrise:pcmClassification:1:pcmClassification:1:waistriseCC:pcmClassification:1,MP000000000092834,pcmClassification/1/waistriseCC.waistrise,,4,"enum,pcmClassification,1,highrise"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000092834,pcmClassification/1/washcareCC.washcare,,1,"string,Wash Care"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,22to35"
brieftype:pcmClassification:1:pcmClassification:1:brieftypeCC:pcmClassification:1,MP000000000092834,pcmClassification/1/brieftypeCC.brieftype,,4,"enum,pcmClassification,1,trunks"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.displayproduct,,1,"string,White Trunks"
featureapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.featureapparel,,1,"string,Concealed button double-fly"
meninnerwearsize:pcmClassification:1:pcmClassification:1:meninnerwearsizeCC:pcmClassification:1,MP000000000092834,pcmClassification/1/meninnerwearsizeCC.meninnerwearsize,,4,"enum,pcmClassification,1,4xl"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.stylecode,,1,"string,LUXISTRCOL001"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000092834,pcmClassification/1/sizechartCC.sizechart,,1,"string,LUXISTRCOLXL"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092834,pcmClassification/1/apparelCC.colorapparel,,1,"string,Black"
menfabric:pcmClassification:1:pcmClassification:1:menfabricCC:pcmClassification:1,MP000000000092834,pcmClassification/1/menfabricCC.menfabric,,4,"enum,pcmClassification,1,acrylic"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Cotton Blend"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.stylenote,,1,"string,Sport an elegant and classy look with this grey blazer from Van Heusen. It features a single breasted two-button fastening details\, front pockets and a narrow collar. Wear it over your formals for a sophisticated finish."
mencasualtopwearcollarneck:pcmClassification:1:pcmClassification:1:mencasualtopwearcollarneckCC:pcmClassification:1,MP000000000092900,pcmClassification/1/mencasualtopwearcollarneckCC.mencasualtopwearcollarneck,,4,"enum,pcmClassification,1,mandarincollar"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
fittopwearmen:pcmClassification:1:pcmClassification:1:fittopwearmenCC:pcmClassification:1,MP000000000092900,pcmClassification/1/fittopwearmenCC.fittopwearmen,,4,"enum,pcmClassification,1,regularfit"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000092900,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model is 6'0 /180cm and is wearing a medium"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,workwear"
packcolor:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.packcolor,,4,"enum,pcmClassification,1,grey"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.weightapparel,,1,"string,50"
menpattern:pcmClassification:1:pcmClassification:1:menpatternCC:pcmClassification:1,MP000000000092900,pcmClassification/1/menpatternCC.menpattern,,4,"enum,pcmClassification,1,solid"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,blue"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.displayproduct,,1,"string,Van Heusen Medium Navy Blazer"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,22to35"
mensleeve:pcmClassification:1:pcmClassification:1:mensleeveCC:pcmClassification:1,MP000000000092900,pcmClassification/1/mensleeveCC.mensleeve,,4,"enum,pcmClassification,1,fullsleeves"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000092900,pcmClassification/1/washcareCC.washcare,,1,"string,Dry clean only"
mencasualtopwearsize:pcmClassification:1:pcmClassification:1:mencasualtopwearsizeCC:pcmClassification:1,MP000000000092900,pcmClassification/1/mencasualtopwearsizeCC.mencasualtopwearsize,,4,"enum,pcmClassification,1,s"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.stylecode,,1,"string,3008W6E"
unisexapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.unisexapparel,,4,"enum,pcmClassification,1,no"
menfabric:pcmClassification:1:pcmClassification:1:menfabricCC:pcmClassification:1,MP000000000092900,pcmClassification/1/menfabricCC.menfabric,,4,"enum,pcmClassification,1,canvas"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000092900,pcmClassification/1/sizechartCC.sizechart,,1,"string,MEN_BLAZER"
storyname:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.storyname,,1,"string,Story Name"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092900,pcmClassification/1/apparelCC.colorapparel,,1,"string,Navy"
meninnerwearsize:pcmClassification:1:pcmClassification:1:meninnerwearsizeCC:pcmClassification:1,MP000000000092911,pcmClassification/1/meninnerwearsizeCC.meninnerwearsize,,4,"enum,pcmClassification,1,38"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000092911,pcmClassification/1/sizechartCC.sizechart,,1,"string,L"
fitbottomwearmen:pcmClassification:1:pcmClassification:1:fitbottomwearmenCC:pcmClassification:1,MP000000000092911,pcmClassification/1/fitbottomwearmenCC.fitbottomwearmen,,4,"enum,pcmClassification,1,regularfit"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
brieftype:pcmClassification:1:pcmClassification:1:brieftypeCC:pcmClassification:1,MP000000000092911,pcmClassification/1/brieftypeCC.brieftype,,4,"enum,pcmClassification,1,thongs"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,black"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.weightapparel,,1,"string,250 gm"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.displayproduct,,1,"string,Comfort Wear"
menfabric:pcmClassification:1:pcmClassification:1:menfabricCC:pcmClassification:1,MP000000000092911,pcmClassification/1/menfabricCC.menfabric,,4,"enum,pcmClassification,1,cotton"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,2-3y"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.colorapparel,,1,"string,Black"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000092911,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model Fit"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.stylecode,,1,"string,INNN5869S14"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000092911,pcmClassification/1/washcareCC.washcare,,1,"string,Wash Care"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,casualwear"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.stylenote,,1,"string,Comfort Sleep Wear And Inner Wear"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000092911,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
packcolor:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.packcolor,,4,"enum,pcmClassification,1,brown"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.stylecode,,1,"string,JENJN001SC"
womenpattern:pcmClassification:1:pcmClassification:1:womenpatternCC:pcmClassification:1,MP000000000101827,pcmClassification/1/womenpatternCC.womenpattern,,4,"enum,pcmClassification,1,abstract"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.displayproduct,,1,"string,Women Formal Jeans"
