# productSource,ArticleSku,USSID,Id,Name,Type,startDate,endDate,inwardDate
MP000000000077347,QWER123464,987410QWER123464,987410,Sellerone,Platinum,20161007000000,20170605000000,20161007000000
MP000000000077621,GGRQ74682,987410GGRQ74682,987410,Sellerone,Platinum,20161014000000,20170605000000,20161014000000
MP000000000092834,LUXISTRCOL001,343434LUXISTRCOL001,343434,Preethi,Platinum,20161028000000,20201018000000,20161028000000
MP000000000092900,MMJJC66001,343434MMJJC66001,343434,Preethi,Platinum,20161028000000,20170123000000,20161028000000
MP000000000092911,MMINB111,343434MMINB111,343434,Preethi,Platinum,20161028000000,20181018000000,20161028000000
MP000000000101827,JENJN007,200416JENJN007,200416,Epsilon,Platinum,20161031000000,20200205000000,20161031000000
MP000000000128167,SANTY45681,298782SANTY45681,298782,Sindhu,Platinum,20161116000000,20191019000000,20161116000000
MP000000000128167,SANTY45680,298782SANTY45680,298782,Sindhu,Platinum,20161116000000,20191019000000,20161116000000
MP000000000128234,LUXRCHJN001,987410LUXRCHJN001,987410,Sellerone,Platinum,20161116000000,20200205000000,20161116000000
MP000000000128236,LUXRCHJN004,987410LUXRCHJN004,987410,Sellerone,Platinum,20161116000000,20200205000000,20161116000000
MP000000000128238,LUXRCHJN003,987410LUXRCHJN003,987410,Sellerone,Platinum,20161116000000,20200205000000,20161116000000
MP000000000128241,LUXRCHJN002,987410LUXRCHJN002,987410,Sellerone,Platinum,20161116000000,20200205000000,20161116000000
